month,client,revenue,cost,profit,bep_cc,pnl_ex_creleb,mm_ex_creleb,productivity_per_mm
6,한화생명,73457642,35798544,37659098,29100000,8559098,4.8,2037880
6,CJ나눔재단,39098768,10409200,28689568,23300000,5389568,3.4,1283230
6,파울라너,5142857,0,5142857,12900000,-7757143,2.0,-1846939
6,젤라또피케,19320000,14112000,5208000,6300000,-1092000,1.0,-260000
6,PT코퍼레이션,0,0,0,11700000,-11700000,1.8,-2785714
6,키린(Qeelin),1190850,531765,659085,3200000,-2540915,0.4,-6352288
7,한화생명,51845968,24108702,27737266,32100000,-4362734,2.6,-1677975
7,CJ나눔재단,35975417,18177334,17798083,25700000,-7901917,2.3,-3435616
7,파울라너,10142857,3200000,6942857,11100000,-4157143,0.9,-4619048
7,젤라또피케,11822312,9678000,2144312,2700000,-555688,0.2,-2778440
7,PT코퍼레이션,0,0,0,28200000,-28200000,2.1,-13428571
7,키린(Qeelin),599895,270000,329895,2200000,-1870105,0.2,-9350525
7,핀코퍼레이션,3000000,2314000,686000,0,686000,0.4,1715000
8,한화생명,84563690,35039960,49523730,49300000,223730,4.1,54568
8,CJ나눔재단,51531390,37573564,13957826,19500000,-5542174,1.7,-3260102
8,파울라너,54142857,28800000,25342857,16500000,8842857,1.3,6802198
8,젤라또피케,10000000,6321000,3679000,5100000,-1421000,0.4,-3552500
8,PT코퍼레이션,0,0,0,1200000,-1200000,0.1,
8,Qeelin,600000,270000,330000,0,330000,0.0,
8,AHC(TK_헤리티지),0,0,0,0,0,0.0,
