month,brand,revenue,cost,profit,mm_ex_creleb,productivity_per_mm,note
3,퓨리나,475825608,,,,,"일부 컬럼 중복 표기 가능성, 원본 확인 필요"
3,풀무원요거트,35370423,,,,,
3,매일유업,17000000,,,,,"원본에 17,000,000 중복 표기(풀무원 카드와 겹침) 의심"
3,CJ문화재단,58152787,,,,,
4,퓨리나,240439165,,,,,
4,풀무원요거트,35049000,,,,,
4,매일유업,19400000,,,,,
4,CJ문화재단,6410000,,,,,
5,퓨리나,461787947,,,,,
5,풀무원요거트,33163200,,,,,
5,매일유업,90000000,,,,,
5,CJ문화재단,52581818,,,,,
6,퓨리나,297506412,,,2.9,,6월 MM총계 2건 상충: 다른 위치엔 6.1로 표기 (데이터품질 참고)
6,풀무원요거트,45918767,,,0.8,,
6,매일유업,154990000,,,0.9,,
6,CJ문화재단,11327275,,,0.4,,
7,퓨리나,217968229,132042880,85925349,2.9,12029845,
7,풀무원요거트,31400000,17046000,14354000,0.8,6442500,
7,매일유업,45641568,31068277,14573291,0.9,3303657,
7,CJ문화재단,6632308,1639583,4992725,0.4,-1634094,소액 기준 생산성 음수(왜곡 가능)
8,퓨리나,,,,2.3,,8월 그룹합계 매출/매입/수익/생산성 원본 미기재(공란) - 리소스시트 자체의 데이터 공백
8,풀무원요거트,,,,0.8,,8월 그룹합계 공란
8,매일유업,,,,0.9,,8월 그룹합계 공란
8,CJ문화재단,,,,0.2,,8월 그룹합계 공란
