group,client_raw,client,revenue_target,revenue_actual,revenue_rate_pct,cost_target,cost_actual,cost_rate_pct,profit_target,profit_actual,profit_rate_pct,quality_flag
1그룹,한화생명,한화생명,1590909091,721368096,45.34,1113636364,398425783,35.78,477272727,306128291,64.14,
1그룹,젤라또 피케,젤라또피케,384000000,172881426,45.02,228480000,131346569,57.49,155520000,46422139,29.85,
1그룹,PT코퍼레이션,PT코퍼레이션,1100000000,173519349,15.77,869000000,100183560,11.53,231000000,90335789,39.11,
1그룹,CJ나눔재단,CJ나눔재단,290909091,243876278,83.83,174545455,125814156,72.08,116363636,132314826,113.71,
1그룹,Qeelin,Qeelin,7200000,9493335,131.85,3240000,4224000,58.67,3960000,5269336,133.06,
1그룹,파울라너,파울라너,200000000,394259999,197.13,140000000,321161592,229.4,60000000,83755550,139.59,
1그룹,타이거,타이거,250000000,0,0.0,,0,,,0,,REF_ERROR
1그룹,던롭,던롭,37000000,37000000,100.0,10000000,9219681,92.2,27000000,27780319,102.89,
1그룹,CJ제일제당,CJ제일제당,130000000,0,0.0,91000000,0,0.0,39000000,0,0.0,
1그룹,신규 광고주,신규광고주_1그룹,,0,,,0,,,0,,DIV0_NO_TARGET
2그룹,풀무원요거트 그릭,풀무원요거트_그릭,132000000,178231967,135.02,38400000,66862150,174.12,93600000,96819817,103.44,
2그룹,풀무원요거트 카페,풀무원요거트_카페,212000000,181025594,85.39,98400000,89173571,90.62,113600000,89640423,78.91,
2그룹,풀무원다논 요프로,풀무원다논_요프로,80000000,76950000,96.19,60000000,46249000,77.08,20000000,29400000,147.0,
2그룹,CJ문화재단,CJ문화재단,270000000,296241590,109.72,202500000,162296796,80.15,67500000,118475714,175.52,
2그룹,매일유업 앱솔루트 산양,매일유업_산양,300000000,329250897,109.75,240000000,192534854,80.22,60000000,121086043,201.81,
2그룹,매일유업 셀렉스 썬화이버,매일유업_셀렉스,200000000,193168577,96.58,156000000,144550585,92.66,44000000,48617992,110.5,
2그룹,네슬레 퓨리나,네슬레_퓨리나,1760600000,2908108353,165.18,1111200000,1959066230,176.3,649400000,1110868315,171.06,
2그룹,스나이델뷰티,스나이델뷰티,16800000,0,0.0,15120000,0,0.0,1680000,0,0.0,TARGET_ONLY_NO_ACTUAL
2그룹,신규광고주1,신규광고주1_2그룹,,0,,,0,,,0,,DIV0_NO_TARGET
2그룹,신규광고주2,신규광고주2_2그룹,,0,,,0,,,0,,DIV0_NO_TARGET
