group,client,month,revenue,cost,profit
1그룹,한화생명,1,25344914,14749695,10595219
1그룹,한화생명,2,84040300,58553818,25486482
1그룹,한화생명,3,38018818,21789590,16229228
1그룹,한화생명,4,51923536,36956168,14967368
1그룹,한화생명,5,52956916,31703286,21253630
1그룹,한화생명,6,73457642,33598544,39859098
1그룹,한화생명,7,51845968,24108702,27737266
1그룹,한화생명,8,84863690,35039960,30000000
1그룹,한화생명,9,271456953,235560600,30000000
1그룹,한화생명,10,51154453,22580000,30000000
1그룹,한화생명,11,51154453,22580000,30000000
1그룹,젤라또피케,1,14208578,10273071,3935507
1그룹,젤라또피케,2,20855650,18620802,2234848
1그룹,젤라또피케,3,13053953,7497907,5556046
1그룹,젤라또피케,4,18461749,15458600,3003149
1그룹,젤라또피케,5,11713161,7554842,4158319
1그룹,젤라또피케,6,19272010,14064151,5207859
1그룹,젤라또피케,7,11822881,9496470,2326411
1그룹,젤라또피케,8,10000000,6321000,4000000
1그룹,젤라또피케,9,13421749,10086600,4000000
1그룹,젤라또피케,10,12421749,10086600,4000000
1그룹,젤라또피케,11,17000000,13290000,4000000
1그룹,PT코퍼레이션,1,,,
1그룹,PT코퍼레이션,2,89452965,32010372,57442593
1그룹,PT코퍼레이션,3,67027112,61276079,5751033
1그룹,PT코퍼레이션,4,7039272,6897109,142163
1그룹,PT코퍼레이션,5,,,
1그룹,PT코퍼레이션,6,,,
1그룹,PT코퍼레이션,7,,,
1그룹,PT코퍼레이션,8,10000000,0,10000000
1그룹,PT코퍼레이션,9,,,17000000
1그룹,PT코퍼레이션,10,,,
1그룹,PT코퍼레이션,11,0,0,0
1그룹,CJ나눔재단,1,,,
1그룹,CJ나눔재단,2,,,
1그룹,CJ나눔재단,3,9500000,0,9500000
1그룹,CJ나눔재단,4,21290909,8400000,12890909
1그룹,CJ나눔재단,5,39890909,25113369,14777540
1그룹,CJ나눔재단,6,39098768,10298889,28799879
1그룹,CJ나눔재단,7,35975417,19628919,16346498
1그룹,CJ나눔재단,8,51531390,37573564,10000000
1그룹,CJ나눔재단,9,26030909,13200500,10000000
1그룹,CJ나눔재단,10,32490909,21315500,10000000
1그룹,CJ나눔재단,11,17490909,9315500,10000000
1그룹,Qeelin,1,,,
1그룹,Qeelin,2,1159545,503590,655955
1그룹,Qeelin,3,586050,257445,328605
1그룹,Qeelin,4,1761945,775750,986195
1그룹,Qeelin,5,1180725,522652,658073
1그룹,Qeelin,6,1190850,531765,659085
1그룹,Qeelin,7,599895,269905,329990
1그룹,Qeelin,8,600000,270000,330000
1그룹,Qeelin,9,600000,270000,330000
1그룹,Qeelin,10,600000,270000,
1그룹,Qeelin,11,600000,270000,330000
1그룹,파울라너,1,,,
1그룹,파울라너,2,,,
1그룹,파울라너,3,,,
1그룹,파울라너,4,,,
1그룹,파울라너,5,,,
1그룹,파울라너,6,5142857,0,5142857
1그룹,파울라너,7,10142857,3479870,6662987
1그룹,파울라너,8,54142857,28800000,25342857
1그룹,파울라너,9,20142857,9600000,10542857
1그룹,파울라너,10,14142857,4800000,20000000
1그룹,파울라너,11,98142857,93200000,4942857
1그룹,타이거,1,0,,
1그룹,타이거,2,0,,
1그룹,타이거,3,0,,
1그룹,타이거,4,0,,
1그룹,타이거,5,0,,
1그룹,타이거,6,0,,
1그룹,타이거,7,0,,
1그룹,타이거,8,0,,
1그룹,타이거,9,0,,
1그룹,타이거,10,0,,
1그룹,타이거,11,0,,
1그룹,던롭,1,37000000,9219681,27780319
1그룹,던롭,2,,,
1그룹,던롭,3,,,
1그룹,던롭,4,,,
1그룹,던롭,5,,,
1그룹,던롭,6,,,
1그룹,던롭,7,,,
1그룹,던롭,8,,,
1그룹,던롭,9,,,
1그룹,던롭,10,,,
1그룹,던롭,11,,,
1그룹,CJ제일제당,1,0,0,0
1그룹,CJ제일제당,2,0,0,0
1그룹,CJ제일제당,3,0,0,0
1그룹,CJ제일제당,4,0,0,0
1그룹,CJ제일제당,5,0,0,0
1그룹,CJ제일제당,6,0,0,0
1그룹,CJ제일제당,7,0,0,0
1그룹,CJ제일제당,8,0,0,0
1그룹,CJ제일제당,9,0,0,0
1그룹,CJ제일제당,10,0,0,0
1그룹,CJ제일제당,11,0,0,0
2그룹,풀무원요거트_그릭,1,11000000,8937060,2062940
2그룹,풀무원요거트_그릭,2,11000000,3200000,7800000
2그룹,풀무원요거트_그릭,3,11000000,3200000,7800000
2그룹,풀무원요거트_그릭,4,11800000,3880000,7920000
2그룹,풀무원요거트_그릭,5,13063200,3953440,9109760
2그룹,풀무원요거트_그릭,6,28018767,9045650,18973117
2그룹,풀무원요거트_그릭,7,11200000,8046000,3154000
2그룹,풀무원요거트_그릭,8,35150000,15922500,8000000
2그룹,풀무원요거트_그릭,9,11000000,2850000,8000000
2그룹,풀무원요거트_그릭,10,11000000,2850000,8000000
2그룹,풀무원요거트_카페,1,30455000,9135000,21320000
2그룹,풀무원요거트_카페,2,24364538,43964538,-19600000
2그룹,풀무원요거트_카페,3,24230423,8860000,15370423
2그룹,풀무원요거트_카페,4,11000000,3200000,7800000
2그룹,풀무원요거트_카페,5,11300000,2850000,8450000
2그룹,풀무원요거트_카페,6,11000000,2850000,8150000
2그룹,풀무원요거트_카페,7,11000000,2850000,8150000
2그룹,풀무원요거트_카페,8,13488000,3876400,8000000
2그룹,풀무원요거트_카페,9,11000000,2850000,8000000
2그룹,풀무원요거트_카페,10,11000000,2850000,8000000
2그룹,풀무원다논_요프로,1,,,
2그룹,풀무원다논_요프로,2,,,
2그룹,풀무원다논_요프로,3,,,
2그룹,풀무원다논_요프로,4,12800000,5600000,7200000
2그룹,풀무원다논_요프로,5,8800000,7540000,1260000
2그룹,풀무원다논_요프로,6,6900000,4010000,2890000
2그룹,풀무원다논_요프로,7,9200000,6150000,3050000
2그룹,풀무원다논_요프로,8,7650000,4890000,3000000
2그룹,풀무원다논_요프로,9,8900000,5339000,3000000
2그룹,풀무원다논_요프로,10,8900000,5090000,3000000
2그룹,CJ문화재단,1,4393536,773606,3619930
2그룹,CJ문화재단,2,6800000,270000,6530000
2그룹,CJ문화재단,3,58152787,37456841,20695946
2그룹,CJ문화재단,4,36492680,18094067,18398613
2그룹,CJ문화재단,5,52581818,28750000,23831818
2그룹,CJ문화재단,6,14234816,8828164,5406652
2그룹,CJ문화재단,7,6632338,1639583,4992755
2그룹,CJ문화재단,8,15226343,6484535,7000000
2그룹,CJ문화재단,9,24681818,16000000,7000000
2그룹,CJ문화재단,10,29681818,16000000,7000000
2그룹,매일유업_산양,1,47585000,32945000,14640000
2그룹,매일유업_산양,2,32005897,13193374,18812523
2그룹,매일유업_산양,3,17000000,11700000,5300000
2그룹,매일유업_산양,4,23510000,13359780,10150220
2그룹,매일유업_산양,5,25000000,12166700,12833300
2그룹,매일유업_산양,6,20000000,14700000,5300000
2그룹,매일유업_산양,7,29500000,17850000,11650000
2그룹,매일유업_산양,8,46350000,24800000,8000000
2그룹,매일유업_산양,9,20600000,11700000,8000000
2그룹,매일유업_산양,10,20600000,11700000,8000000
2그룹,매일유업_셀렉스,1,,,
2그룹,매일유업_셀렉스,2,,,
2그룹,매일유업_셀렉스,3,,,
2그룹,매일유업_셀렉스,4,,,
2그룹,매일유업_셀렉스,5,65000000,8950000,56050000
2그룹,매일유업_셀렉스,6,112027009,124182308,-12155299
2그룹,매일유업_셀렉스,7,16141568,1318277,14823291
2그룹,매일유업_셀렉스,8,0,10100000,-10100000
2그룹,매일유업_셀렉스,9,,0,0
2그룹,매일유업_셀렉스,10,,0,0
2그룹,네슬레_퓨리나,1,198713496,118388351,80325145
2그룹,네슬레_퓨리나,2,385740735,148737602,237003133
2그룹,네슬레_퓨리나,3,471062187,460963954,10098233
2그룹,네슬레_퓨리나,4,289233822,185526964,103706858
2그룹,네슬레_퓨리나,5,408131939,293351051,114780888
2그룹,네슬레_퓨리나,6,306734951,197780893,108954058
2그룹,네슬레_퓨리나,7,400000000,250000000,150000000
2그룹,네슬레_퓨리나,8,218022019,89844400,100000000
2그룹,네슬레_퓨리나,9,89631019,28793800,100000000
2그룹,네슬레_퓨리나,10,157131019,124609430,100000000
