group,month,revenue_target,revenue_actual,cost_target,cost_actual,profit_target,profit_actual,has_actual
전체,1,306850000,368700524,194825000,204421464,112025000,164279060,1
전체,2,636850000,655419630,463825000,319054096,173025000,336365534,1
전체,3,639850000,709631330,451625000,613001816,188225000,96629514,1
전체,4,714850000,485313913,434125000,298148438,280725000,187165475,1
전체,5,979850000,689618668,723625000,422455340,256225000,267163328,1
전체,6,1069850000,636927670,754625000,414290364,315225000,222637306,1
전체,7,869850000,594210924,621625000,348037726,248225000,246173198,1
전체,8,869850000,548557653,621625000,300137084,248225000,208182568,1
전체,9,619850000,532408265,361625000,396464199,258225000,207772857,1
전체,10,434850000,162845628,245125000,77840500,189725000,198000000,1
전체,11,469850000,266445628,276625000,180897500,193225000,86272857,1
전체,12,369850000,,201625000,,168225000,,0
1그룹,1,132000000,76553492,94040000,34242447,37960000,42311045,1
1그룹,2,152000000,195508460,111040000,109688582,40960000,85819878,1
1그룹,3,210000000,128185933,135840000,90821021,74160000,37364912,1
1그룹,4,375000000,100477411,221340000,68487627,153660000,31989784,1
1그룹,5,690000000,105741711,540840000,64894149,149160000,40847562,1
1그룹,6,830000000,138162127,606840000,58493349,223160000,79668778,1
1그룹,7,740000000,110387018,555840000,56983866,184160000,53403152,1
1그룹,8,540000000,213545706,395840000,101622664,144160000,84282568,1
1그룹,9,140000000,241795195,55840000,185513636,84160000,73772857,1
1그룹,10,305000000,78663810,179340000,39350500,125660000,64000000,1
1그룹,11,240000000,182263810,135840000,142407500,104160000,49272857,1
1그룹,12,240000000,,135840000,,104160000,,0
2그룹,1,174850000,292147032,100785000,170179017,74065000,121968015,1
2그룹,2,484850000,459911170,352785000,209365514,132065000,250545656,1
2그룹,3,429850000,581445397,315785000,522180795,114065000,59264602,1
2그룹,4,339850000,384836502,212785000,229660811,127065000,155175691,1
2그룹,5,289850000,583876957,182785000,357561191,107065000,226315766,1
2그룹,6,239850000,498765543,147785000,355797015,92065000,142968528,1
2그룹,7,129850000,483823906,65785000,291053860,64065000,192770046,1
2그룹,8,329850000,335011947,225785000,198514420,104065000,123900000,1
2그룹,9,479850000,290613070,305785000,210950563,174065000,134000000,1
2그룹,10,129850000,84181818,65785000,38490000,64065000,134000000,1
2그룹,11,229850000,,140785000,,89065000,,0
2그룹,12,129850000,,65785000,,64065000,,0
